,sample,library_prep,dataset,group,subgroup,bam,gtf,positions,probes,extra
49,5k_pbmc_protein_v3_nextgem,10X_3p_v31,scrna,PBMC_scrna,10X_3p_v31,bam_prefix/5k_pbmc_protein_v3_nextgem_possorted_genome_bam.bam,gtf/GRCh38-2020-A.gtf.gz,,,
50,manual_5k_pbmc_NGSC3_ch1,10X_3p_v31,scrna,PBMC_scrna,10X_3p_v31,bam_prefix/manual_5k_pbmc_NGSC3_ch1_possorted_genome_bam.bam,gtf/GRCh38-2020-A.gtf.gz,,,
51,SC3_v3_NextGem_SI_PBMC_10K,10X_3p_v31,scrna,PBMC_scrna,10X_3p_v31,bam_prefix/SC3_v3_NextGem_SI_PBMC_10K_possorted_genome_bam.bam,gtf/GRCh38-2020-A.gtf.gz,,,
52,10k_PBMC_3p_nextgem_Chromium_X,10X_3p_v31,scrna,PBMC_scrna,10X_3p_v31,bam_prefix/10k_PBMC_3p_nextgem_Chromium_X_possorted_genome_bam.bam,gtf/GRCh38-2020-A.gtf.gz,,,
53,10k_Human_PBMC_TotalSeqB_3p_gemx,10X_3p_v4,scrna,PBMC_scrna,10X_3p_v4,bam_prefix/outs/per_sample_outs/10k_Human_PBMC_TotalSeqB_3p_gemx/count/sample_alignments.bam,gtf/GRCh38-2020-A.gtf.gz,,,
54,10k_Human_PBMC_TotalSeqC_5p_gemx,10X_5p_v3,scrna,PBMC_scrna,10X_5p_v3,bam_prefix/outs/per_sample_outs/10k_Human_PBMC_TotalSeqC_5p_gemx/count/sample_alignments.bam,gtf/GRCh38-2020-A.gtf.gz,,,
55,20k_PBMC_5pv2_HT_nextgem_Chromium_X,10X_5p_v2,scrna,PBMC_scrna,10X_5p_v2,bam_prefix/outs/per_sample_outs/20k_PBMC_5pv2_HT_nextgem_Chromium_X/count/sample_alignments.bam,gtf/GRCh38-2020-A.gtf.gz,,,
56,20k_PBMC_3p_HT_nextgem_Chromium_X,10X_3p_v31,scrna,PBMC_scrna,10X_3p_v31,bam_prefix/outs/per_sample_outs/20k_PBMC_3p_HT_nextgem_Chromium_X/count/sample_alignments.bam,gtf/GRCh38-2020-A.gtf.gz,,,
57,5k_Human_Donor1_PBMC_3p_gem-x_GEX,10X_3p_v4,scrna,PBMC_scrna,10X_3p_v4,bam_prefix/outs/per_sample_outs/20k_PBMC_3p_HT_nextgem_Chromium_X/count/sample_alignments.bam,gtf/GRCh38-2020-A.gtf.gz,,,
58,5k_Human_Donor2_PBMC_3p_gem-x_GEX,10X_3p_v4,scrna,PBMC_scrna,10X_3p_v4,bam_prefix/outs/per_sample_outs/5k_Human_Donor2_PBMC_3p_gem-x_GEX/count/sample_alignments.bam,gtf/GRCh38-2020-A.gtf.gz,,,
59,5k_Human_Donor3_PBMC_3p_gem-x_GEX,10X_3p_v4,scrna,PBMC_scrna,10X_3p_v4,bam_prefix/outs/per_sample_outs/5k_Human_Donor3_PBMC_3p_gem-x_GEX/count/sample_alignments.bam,gtf/GRCh38-2020-A.gtf.gz,,,
60,5k_Human_Donor4_PBMC_3p_gem-x_GEX,10X_3p_v4,scrna,PBMC_scrna,10X_3p_v4,bam_prefix/outs/per_sample_outs/5k_Human_Donor4_PBMC_3p_gem-x_GEX/count/sample_alignments.bam,gtf/GRCh38-2020-A.gtf.gz,,,
61,Lung_Cancer_PBMC,10X_flex_v1,scrna_flex,PBMC_scrna_flex,10X_flex_v1,bam_prefix/flex/outs/per_sample_outs/Lung_Cancer_PBMC/sample_alignments.bam,gtf/GRCh38-2024-A.gtf.gz,,probes/Chromium_Human_Transcriptome_Probe_Set_v1.1.0_GRCh38-2024-A.csv,
62,PBMC_Control2,10X_flex_v1,scrna_flex,PBMC_scrna_flex,10X_flex_v1,bam_prefix/flex/outs/per_sample_outs/PBMC_Control2/sample_alignments.bam,gtf/GRCh38-2024-A.gtf.gz,,probes/Chromium_Human_Transcriptome_Probe_Set_v1.1.0_GRCh38-2024-A.csv,
63,Kidney_Sarcomatoid_PBMC,10X_flex_v1,scrna_flex,PBMC_scrna_flex,10X_flex_v1,bam_prefix/flex/outs/per_sample_outs/Kidney_Sarcomatoid_PBMC/sample_alignments.bam,gtf/GRCh38-2024-A.gtf.gz,,probes/Chromium_Human_Transcriptome_Probe_Set_v1.1.0_GRCh38-2024-A.csv,
64,Kidney_Cancer_PBMC,10X_flex_v1,scrna_flex,PBMC_scrna_flex,10X_flex_v1,bam_prefix/flex/outs/per_sample_outs/Kidney_Cancer_PBMC/sample_alignments.bam,gtf/GRCh38-2024-A.gtf.gz,,probes/Chromium_Human_Transcriptome_Probe_Set_v1.1.0_GRCh38-2024-A.csv,
65,PBMC_Control1,10X_flex_v1,scrna_flex,PBMC_scrna_flex,10X_flex_v1,bam_prefix/flex/outs/per_sample_outs/PBMC_Control1/sample_alignments.bam,gtf/GRCh38-2024-A.gtf.gz,,probes/Chromium_Human_Transcriptome_Probe_Set_v1.1.0_GRCh38-2024-A.csv,
66,10k_Human_PBMC_TotalSeqB_singleplex_10k_Human_PBMC_TotalSeqB_singleplex,10X_flex_v1,scrna_flex,PBMC_scrna_flex,10X_flex_v1,bam_prefix/10k_Human_PBMC_TotalSeqB_singleplex_10k_Human_PBMC_TotalSeqB_singleplex_count_sample_alignments.bam,gtf/GRCh38-2020-A.gtf.gz,,probes/Chromium_Human_Transcriptome_Probe_Set_v1.1.0_GRCh38-2024-A.csv,
67,16plex_human_PBMC_TotalSeqC_multiplex_PBMC_01_BC1_AB1,10X_flex_v1,scrna_flex,PBMC_scrna_flex,10X_flex_v1,bam_prefix/16plex_human_PBMC_TotalSeqC_multiplex_PBMC_01_BC1_AB1_count_sample_alignments.bam,gtf/GRCh38-2020-A.gtf.gz,,probes/Chromium_Human_Transcriptome_Probe_Set_v1.1.0_GRCh38-2024-A.csv,
68,10k_Human_DTC_Melanoma_3p_gemx,10X_3p_v4,scrna_expanded,Melanoma,10X_3p_v4,bam_prefix/outs/per_sample_outs/10k_Human_DTC_Melanoma_3p_gemx/count/sample_alignments.bam,gtf/GRCh38-2020-A.gtf.gz,,,
69,10k_Human_DTC_Melanoma_3p_nextgem,10X_3p_v31,scrna_expanded,Melanoma,10X_3p_v31,bam_prefix/outs/per_sample_outs/10k_Human_DTC_Melanoma_3p_nextgem/count/sample_alignments.bam,gtf/GRCh38-2020-A.gtf.gz,,,
70,10k_Human_DTC_Melanoma_5p_gemx,10X_5p_v3,scrna_expanded,Melanoma,10X_5p_v3,bam_prefix/outs/per_sample_outs/10k_Human_DTC_Melanoma_5p_gemx/count/sample_alignments.bam,gtf/GRCh38-2020-A.gtf.gz,,,
71,10k_Human_DTC_Melanoma_5p_nextgem,10X_5p_v2,scrna_expanded,Melanoma,10X_5p_v2,bam_prefix/outs/per_sample_outs/10k_Human_DTC_Melanoma_5p_nextgem/count/sample_alignments.bam,gtf/GRCh38-2020-A.gtf.gz,,,
72,SRR21953751_Heart,10X_3p_v3,scrna_expanded,Heart,10X_3p_v3,bam_prefix/SRR21953751/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
73,SRR21953753_Heart,10X_3p_v3,scrna_expanded,Heart,10X_3p_v3,bam_prefix/SRR21953753/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
74,SRR21953754_Heart,10X_3p_v3,scrna_expanded,Heart,10X_3p_v3,bam_prefix/SRR21953754/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
75,SRR21953755_Heart,10X_3p_v3,scrna_expanded,Heart,10X_3p_v3,bam_prefix/SRR21953755/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
76,SRR21953756_Heart,10X_3p_v3,scrna_expanded,Heart,10X_3p_v3,bam_prefix/SRR21953756/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
77,SRR21953757_Heart,10X_3p_v3,scrna_expanded,Heart,10X_3p_v3,bam_prefix/SRR21953757/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
78,SRR21953758_Heart,10X_3p_v3,scrna_expanded,Heart,10X_3p_v3,bam_prefix/SRR21953758/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
79,SRR21953759_Heart,10X_3p_v3,scrna_expanded,Heart,10X_3p_v3,bam_prefix/SRR21953759/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
80,SRR21953760_Heart,10X_3p_v3,scrna_expanded,Heart,10X_3p_v3,bam_prefix/SRR21953760/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
81,SRR21953761_Heart,10X_3p_v3,scrna_expanded,Heart,10X_3p_v3,bam_prefix/SRR21953761/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
82,SRR21953762_Heart,10X_3p_v3,scrna_expanded,Heart,10X_3p_v3,bam_prefix/SRR21953762/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
83,SRR21953763_Heart,10X_3p_v3,scrna_expanded,Heart,10X_3p_v3,bam_prefix/SRR21953763/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
84,SRR21953764_Heart,10X_3p_v3,scrna_expanded,Heart,10X_3p_v3,bam_prefix/SRR21953764/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
85,Human_colon_16S8117831,10X_5p_v2,scrna_expanded,Colon,10X_5p_v2,bam_prefix/Human_colon_16S8117831/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
86,Human_colon_16S8002628,10X_5p_v2,scrna_expanded,Colon,10X_5p_v2,bam_prefix/Human_colon_16S8002628/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
87,Human_colon_16S8117830,10X_5p_v2,scrna_expanded,Colon,10X_5p_v2,bam_prefix/Human_colon_16S8117830/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
