,sample,library_prep,dataset,group,subgroup,bam,gtf,positions,probes,extra
136,SRR15217241_Bowel_CD45p,10X_3p_v3,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,bam_prefix/SRR15217241_Bowel_CD45p/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
137,PBMC_F5A_10X_3p_v4,10X_3p_v4,scrna,PBMC_scrna,10X_3p_v4,bam_prefix/PBMC_F5A_10X_3p_v4/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,PBMC_S1
138,PBMC_F1B_10X_3p_v4,10X_3p_v4,scrna,PBMC_scrna,10X_3p_v4,bam_prefix/PBMC_F1B_10X_3p_v4/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,PBMC_S1
139,PBMC_F1B_10X_3p_v31,10X_3p_v31,scrna,PBMC_scrna,10X_3p_v31,bam_prefix/PBMC_F1B_10X_3p_v31/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,PBMC_S1
140,PBMC_F5B_10X_3p_v31,10X_3p_v31,scrna,PBMC_scrna,10X_3p_v31,bam_prefix/PBMC_F5B_10X_3p_v31/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,PBMC_S1
141,PBMC_F1A_10X_3p_v31,10X_3p_v31,scrna,PBMC_scrna,10X_3p_v31,bam_prefix/PBMC_F1A_10X_3p_v31/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,PBMC_S1
142,PBMC_F1A_10X_3p_v4,10X_3p_v4,scrna,PBMC_scrna,10X_3p_v4,bam_prefix/PBMC_F1A_10X_3p_v4/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,PBMC_S1
143,PBMC_F5B_10X_3p_v4,10X_3p_v4,scrna,PBMC_scrna,10X_3p_v4,bam_prefix/PBMC_F5B_10X_3p_v4/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,PBMC_S1
144,PBMC_F5A_10X_3p_v31,10X_3p_v31,scrna,PBMC_scrna,10X_3p_v31,bam_prefix/PBMC_F5A_10X_3p_v31/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,PBMC_S1
145,PBMC_F5A_10X_flex_v1,10X_flex_v1,scrna_flex,PBMC_scrna_flex,10X_flex_v1,bam_prefix/PBMC_flex/outs/per_sample_outs/F5A/sample_alignments.bam,gtf/GRCh38-2020-A.gtf.gz,,probes/Chromium_Human_Transcriptome_Probe_Set_v1.0.1_GRCh38-2020-A.csv,PBMC_S1
146,PBMC_F1B_10X_flex_v1,10X_flex_v1,scrna_flex,PBMC_scrna_flex,10X_flex_v1,bam_prefix/PBMC_flex/outs/per_sample_outs/F1B/sample_alignments.bam,gtf/GRCh38-2020-A.gtf.gz,,probes/Chromium_Human_Transcriptome_Probe_Set_v1.0.1_GRCh38-2020-A.csv,PBMC_S1
147,PBMC_F1A_10X_flex_v1,10X_flex_v1,scrna_flex,PBMC_scrna_flex,10X_flex_v1,bam_prefix/PBMC_flex/outs/per_sample_outs/F1A/sample_alignments.bam,gtf/GRCh38-2020-A.gtf.gz,,probes/Chromium_Human_Transcriptome_Probe_Set_v1.0.1_GRCh38-2020-A.csv,PBMC_S1
148,PBMC_F5B_10X_flex_v1,10X_flex_v1,scrna_flex,PBMC_scrna_flex,10X_flex_v1,bam_prefix/PBMC_flex/outs/per_sample_outs/F5B/sample_alignments.bam,gtf/GRCh38-2020-A.gtf.gz,,probes/Chromium_Human_Transcriptome_Probe_Set_v1.0.1_GRCh38-2020-A.csv,PBMC_S1
