sample,dataset,group,subgroup,library_prep,total_reads,countable_reads,full_saturation,baseline_saturation,ztnb_phat,ztnb_rhat,nb_lib_L,cells_or_tissue_frac
SRR15217433_Adnexa_CD45m,scrna_expanded,OvaryCA_CD45m,10X_3p_v3,10X_3p_v3,137474261,101489404,36.084,36.084,0.671,1.261,163710026.938,4341.000
SRR15217449_Adnexa_CD45m,scrna_expanded,OvaryCA_CD45m,10X_3p_v3,10X_3p_v3,136691844,101552272,38.188,38.188,0.641,1.177,153738193.144,3336.000
SRR15217432_Omentum_CD45m,scrna_expanded,OvaryCA_CD45m,10X_3p_v3,10X_3p_v3,134749540,98700531,35.337,35.337,0.667,1.169,169226196.444,4625.000
SRR15217480_Adnexa_CD45m,scrna_expanded,OvaryCA_CD45m,10X_3p_v3,10X_3p_v3,175130592,125142039,31.364,31.364,0.659,0.789,305607969.331,9286.000
SRR15217481_Adnexa_CD45m,scrna_expanded,OvaryCA_CD45m,10X_3p_v3,10X_3p_v3,174328007,124453954,31.609,31.609,0.656,0.792,299818350.737,9270.000
SRR15217672_Adnexa_CD45m,scrna_expanded,OvaryCA_CD45m,10X_3p_v3,10X_3p_v3,158443740,120604652,36.098,36.098,0.689,1.440,185226394.723,2652.000
SRR15217671_Omentum_CD45m,scrna_expanded,OvaryCA_CD45m,10X_3p_v3,10X_3p_v3,147503163,114391382,33.473,33.473,0.711,1.420,197788358.717,3100.000
SRR15217670_Bowel_CD45m,scrna_expanded,OvaryCA_CD45m,10X_3p_v3,10X_3p_v3,147110679,113991826,35.988,35.988,0.684,1.374,178720169.267,2488.000
SRR15217678_Omentum_CD45m,scrna_expanded,OvaryCA_CD45m,10X_3p_v3,10X_3p_v3,140003856,109013827,34.665,34.665,0.724,1.679,169435286.938,3508.000
SRR15217684_Omentum_CD45m,scrna_expanded,OvaryCA_CD45m,10X_3p_v3,10X_3p_v3,138190547,105148839,29.324,29.324,0.778,1.816,202747551.085,5056.000
SRR15217677_Bowel_CD45m,scrna_expanded,OvaryCA_CD45m,10X_3p_v3,10X_3p_v3,124378765,97280372,30.743,30.743,0.761,1.732,178261941.691,5583.000
SRR15217685_Adnexa_CD45m,scrna_expanded,OvaryCA_CD45m,10X_3p_v3,10X_3p_v3,122572323,93347491,31.088,31.088,0.750,1.628,171644104.611,3864.000
SRR15217447_Adnexa_CD45p,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,10X_3p_v3,167925464,119058139,58.382,49.962,0.429,0.592,105965000.103,3128.000
SRR15217434_Omentum_CD45p,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,10X_3p_v3,158517519,110457603,52.810,52.810,0.460,0.926,101370984.694,5283.000
SRR15217451_Adnexa_CD45p,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,10X_3p_v3,153753214,116634443,44.188,44.188,0.585,1.191,137529517.447,5282.000
SRR15217450_Omentum_CD45p,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,10X_3p_v3,151969419,119228575,44.294,44.294,0.570,1.090,144651286.993,4344.000
SRR15217442_Adnexa_CD45p,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,10X_3p_v3,147512078,96778703,43.720,43.720,0.561,0.985,125082274.537,4577.000
SRR15217441_Adnexa_CD45p,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,10X_3p_v3,147511196,100129004,43.980,43.980,0.556,0.973,128770646.191,4722.000
SRR15217435_Adnexa_CD45p,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,10X_3p_v3,145661713,109468104,49.290,49.290,0.515,1.054,110061411.481,4279.000
SRR15217440_Omentum_CD45p,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,10X_3p_v3,135677351,83460881,42.780,42.780,0.563,0.937,114351758.617,5972.000
SRR15217675_Omentum_CD45p,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,10X_3p_v3,173301451,141173309,44.755,44.755,0.617,1.509,150159819.809,4139.000
SRR15217674_Bowel_CD45p,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,10X_3p_v3,168294876,133661931,50.930,50.930,0.562,1.532,111269846.502,3793.000
SRR15217676_Adnexa_CD45p,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,10X_3p_v3,166780980,132911124,49.224,49.224,0.560,1.384,121998995.294,3825.000
SRR15217688_Omentum_CD45p,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,10X_3p_v3,151423093,112448429,49.041,49.041,0.610,1.821,96236642.198,5257.000
SRR15217681_Omentum_CD45p,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,10X_3p_v3,146205745,115284145,39.720,39.720,0.670,1.573,148025224.598,4867.000
SRR15217689_Adnexa_CD45p,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,10X_3p_v3,144360279,113431050,46.497,46.497,0.613,1.617,110558623.565,4802.000
SRR15217680_Bowel_CD45p,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,10X_3p_v3,131995881,101825869,36.320,36.320,0.707,1.653,147997224.088,4742.000
SRR15217240_Bowel_CD45p,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,10X_3p_v3,89282080,68573953,33.596,33.596,0.792,2.625,98945049.050,4651.000
SRR15217242_Omentum_CD45p,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,10X_3p_v3,87729237,67616922,43.950,43.950,0.721,2.704,64229185.830,4363.000
SRR15217463_Adnexa_CD45p,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,10X_3p_v3,87286073,65362544,34.394,34.394,0.696,1.347,110456291.691,6549.000
SRR15217462_Adnexa_CD45p,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,10X_3p_v3,87045518,65171121,34.431,34.431,0.694,1.339,110195637.745,6549.000
